abbreviation,alt_color,alt_name1,alt_name2,alt_name3,classification,color,conference,id,location_capacity,location_city,location_country_code,location_dome,location_elevation,location_grass,location_latitude,location_longitude,location_name,location_state,location_timezone,location_venue_id,location_year_constructed,location_zip,logo,logos,mascot,school,twitter
RICE,#003d7d,,RICE,Rice,fbs,#d1d5d8,American Athletic,242,47000,Houston,US,False,7.148301601,False,29.7163297,-95.4093261,Rice Stadium,TX,America/Chicago,3895,1950,77251,http://a.espncdn.com/i/teamlogos/ncaa/500/242.png,,Owls,Rice,@RiceFootball
RICH,#b90b2e,,RICH,Richmond,fcs,#9e0712,CAA,257,8217,Richmond,US,False,60.03879166,False,37.5807765,-77.5372211,E. Claiborne Robins Stadium,VA,America/New_York,2068,2010,23173,http://a.espncdn.com/i/teamlogos/ncaa/500/257.png,,Spiders,Richmond,@SpiderFootball
RIP,,,RIP,Ripon,iii,,Midwest,2891,3500,Ripon,US,False,,,43.8424502,-88.8372972,Ingalls Field,WI,,6109,,54971,http://a.espncdn.com/i/teamlogos/ncaa/500/2891.png,,Red Hawks,Ripon,
,,,,,,,,1000996,,,,,,,,,,,,,,,,,,Riverside C.C.,
RMU,#a21d2b,,RMU,Robert Morris,fcs,#00214D,NEC,2523,3000,Moon Township,US,False,351.4482422,False,40.521046,-80.2159227,Joe Walton Stadium,PA,America/New_York,3777,2005,15108,http://a.espncdn.com/i/teamlogos/ncaa/500/2523.png,,Colonials,Robert Morris,@RMUFootball
ROOSE,,,ROOSE,Rob Mor IL,,,,599,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/599.png,,Lakers,Robert Morris University-Illinois,
ROCKF,#c4c6c8,,ROCKF,Rockford,iii,#5a3f99,NACC,2524,1000,Rockford,US,False,,,42.2713945,-89.093966,Sam Greeley Field,IL,,6110,,61104,http://a.espncdn.com/i/teamlogos/ncaa/500/2524.png,,Regents,Rockford,
ROO,,,ROO,Roosevelt,ii,,GLIAC,127991,,,,,,,,,,,,,,,,,Lakers,Roosevelt,
ROSEHUL,#b3b2b1,,ROSEHUL,Rosehulman,iii,#800000,Heartland,86,2500,Terre Haute,US,False,,,39.4667025,-87.4139119,Cook Stadium,IN,,6111,,47809,http://a.espncdn.com/i/teamlogos/ncaa/500/86.png,,Fightin' Engineers,Rose-Hulman,
ROW,#ffcf06,,ROW,Rowan,iii,#571b04,New Jersey,2827,5000,Glassboro,US,False,,,39.7027677,-75.1119434,Richard Wackar Stadium,NJ,,6112,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2827.png,,Profs,Rowan,
RUTG,#ffffff,,RUTG,Rutgers,fbs,#d21034,Big Ten,164,52454,Piscataway,US,False,,False,40.5462553,-74.4660408,SHI Stadium,NJ,,6577,,08854,http://a.espncdn.com/i/teamlogos/ncaa/500/164.png,,Scarlet Knights,Rutgers,@Rfootball
SAC,#cdb97d,Cal State Sacramento,SAC,Sacramento St,fcs,#00573C,Big Sky,16,21195,Sacramento,US,False,12.30015659,False,38.5556718,-121.4229607,Hornet Stadium,CA,America/Los_Angeles,3757,1969,95819,http://a.espncdn.com/i/teamlogos/ncaa/500/16.png,,Hornets,Sacramento State,@SacHornetsFB
SHU,#c29472,,SHU,Sacred Heart,fcs,#a40012,FCS Independents,2529,3334,Fairfield,US,False,82.02420044,False,41.2212488,-73.2417431,Campus Field,CT,America/New_York,3668,1993,6825 ,http://a.espncdn.com/i/teamlogos/ncaa/500/2529.png,,Pioneers,Sacred Heart,@SHU__Football
SAGI,,Saginaw Valley State,SAGI,Saginawval,ii,,GLIAC,129,6800,University Center,US,False,,,25.71414555,-80.2764049838705,Harvey Randall Wickes Memorial Stadium,MI,,3885,,48915,http://a.espncdn.com/i/teamlogos/ncaa/500/129.png,,Cardinals,Saginaw Valley State,
,,,,,,,,1001003,,,,,,,,,,,,,,,,,,Saint Anselm,
,,,,,,,,1001019,,,,,,,,,,,,,,,,,,Saint Francis,
,,,,,,,,1000983,,,,,,,,,,,,,,,,,,Saint Francis (PA),
ST. J,#7baed5,St. John's,ST. J,St John's (MN),iii,#ce153e,Minnesota,2600,7482,Collegeville,US,False,,,45.5944117,-94.3622868,Clemens Stadium,MN,,5117,,56321,http://a.espncdn.com/i/teamlogos/ncaa/500/2600.png,,Johnnies,Saint John's (MN),
STV,,,STV,Saint Vincent,iii,,Presidents',2614,1050,Latrobe,US,False,,,40.317287,-79.3840301,Chuck Noll Field,PA,,3677,,15650,http://a.espncdn.com/i/teamlogos/ncaa/500/2614.png,,Bearcats,Saint Vincent,
SALIS,#fdb913,,SALIS,Salisbury,iii,#8b0e04,New Jersey,2532,5000,Salisbury,US,False,,,38.366027,-75.6009964,Sea Gull Stadium,MD,,6114,,21803,http://a.espncdn.com/i/teamlogos/ncaa/500/2532.png,,Sea Gulls,Salisbury,
SALVE,,,SALVE,Salvregina,iii,,NEWMAC,2776,2500,Newport,US,False,,,41.4899827,-71.3137707,Toppa Field,RI,,6115,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2776.png,,Seahawks,Salve Regina,
SAM,#bc0023,,SAM,Samford,fcs,#005485,Southern,2535,6700,Homewood,US,False,208.0207825,False,33.463273,-86.795326,Seibert Stadium,AL,America/Chicago,3925,1958,35229,http://a.espncdn.com/i/teamlogos/ncaa/500/2535.png,,Bulldogs,Samford,@SamfordFootball
SHSU,#000000,Sam Houston State,SHSU,Sam Houston,fbs,#fe5000,Conference USA,2534,14000,Huntsville,US,False,127.6225204,False,30.713926,-95.5419802,Elliott T. Bowers Stadium,TX,America/Chicago,3647,1986,77340,http://a.espncdn.com/i/teamlogos/ncaa/500/2534.png,,Bearkats,Sam Houston,@BearkatsFB
USD,#2f99d4,,USD,San Diego,fcs,#2f99d4,Pioneer,301,6000,San Diego,US,False,57.95064545,True,32.7730674,-117.183721,Torero Stadium,CA,America/Los_Angeles,716,1961,92111,http://a.espncdn.com/i/teamlogos/ncaa/500/301.png,,Toreros,San Diego,@USDFootball
SDSU,#000000,,SDSU,San Diego St,fbs,#c41230,Mountain West,21,35000,San Diego,US,False,62,True,32.784444,-117.122833,Snapdragon Stadium,CA,America/Los_Angeles,7311,2022,92093,http://a.espncdn.com/i/teamlogos/ncaa/500/21.png,,Aztecs,San Diego State,@AztecFB
SJSU,#fdba31,San Jose St.,SJSU,San José St,fbs,#005893,Mountain West,23,30456,San Jose,US,False,28.30708694,False,37.3196675,-121.8682962,CEFCU Stadium,CA,America/Los_Angeles,3935,1933,95112,http://a.espncdn.com/i/teamlogos/ncaa/500/23.png,,Spartans,San José State,@SanJoseStateFB
,,,,,,,,1000946,,,,,,,,,,,,,,,,,,Santa Rosa J.C.,
SAV,#f78f1e,,SAV,Savannah St,ii,#280298,SIAC,2542,7500,Savannah,US,False,6.564679146,False,32.0274346,-81.0687492,Ted Wright Stadium,GA,America/New_York,3952,1967,31404,http://a.espncdn.com/i/teamlogos/ncaa/500/2542.png,,Tigers,Savannah St,
SELA,#ffc72c,Southeast Louisiana,SELA,SE Louisiana,fcs,#215732,Southland,2545,7408,Hammond,US,False,13.7104578,False,30.5110264,-90.4685792,Strawberry Stadium,LA,America/Chicago,3944,1936,70401,http://a.espncdn.com/i/teamlogos/ncaa/500/2545.png,,Lions,SE Louisiana,@SLUFootball
SETONHILL,,,SETONHILL,Seton Hill,ii,,Pennsylvania State Athletic,611,5000,Greensburg,US,False,,,40.3014581,-79.5389289,Offutt Field,PA,,3859,,15601,http://a.espncdn.com/i/teamlogos/ncaa/500/611.png,,Griffins,Seton Hill,
SEWAN,,Sewanee,SEWAN,Sewanee,iii,,Southern Athletic,2553,3000,Sewanee,US,False,,,35.200644,-85.9195236852273,Hardee-McGee Field,TN,,3823,,37383,http://a.espncdn.com/i/teamlogos/ncaa/500/2553.png,,Tigers,Sewanee,
SHAW,,,SHAW,Shaw,ii,,CIAA,2551,2500,Raleigh,US,False,,,35.7803977,-78.6390989,George Williams Athletic Complex,NC,,6068,,27601,http://a.espncdn.com/i/teamlogos/ncaa/500/2551.png,,Bears,Shaw,
SHENAN,,,SHENAN,Shenandoah,iii,,Old Dominion,2828,3000,Winchester,US,False,,,39.1852184,-78.1652404,Shentel Stadium,VA,,6116,,22602,http://a.espncdn.com/i/teamlogos/ncaa/500/2828.png,,Hornets,Shenandoah,
SHE,,,SHE,Shepherd,ii,,Pennsylvania State Athletic,2974,5000,Shepherdstown,US,False,,,39.4300996,-77.804161,Ram Stadium (WV),WV,,5133,,25443,http://a.espncdn.com/i/teamlogos/ncaa/500/2974.png,,Rams,Shepherd,
STC,,,STC,Shepherd Tech,,#000000,,3181,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/3181.png,,Eagles,Shepherd Tech,
,,,,,,,,1001037,,,,,,,,,,,,,,,,,,Shepherd University,
SHPSBRG,,,SHPSBRG,Shipnsburg,ii,,Pennsylvania State Athletic,2559,7700,Shippensburg,US,False,,,40.0507198,-77.5205485,Seth Grove Stadium,PA,,4429,,17257,http://a.espncdn.com/i/teamlogos/ncaa/500/2559.png,,Raiders,Shippensburg,
,,,,,,,,1001001,,,,,,,,,,,,,,,,,,Shippensburg University,
SIE,,,SIE,Siena,,,,2561,,,,,,,,,,,,,,,,,Saints,Siena,
SIM,,,SIM,Simon Fraser,ii,#000000,Lone Star,2829,2500,Burnaby,US,False,,,35.895335,-78.515105,Terry Fox Field,BC,,3728,,27616,http://a.espncdn.com/i/teamlogos/ncaa/500/2829.png,,Clansmen,Simon Fraser,
SIMPS,#f0b310,Simpson,SIMPS,Simpson,iii,#b20838,American Rivers,2564,5000,Indianola,US,False,,,41.3604966,-93.5613292,Bill Buxton Stadium,IA,,3635,,50125,http://a.espncdn.com/i/teamlogos/ncaa/500/2564.png,,Storm,Simpson College (IA),
,,,,Simpson University (Ca),,,,129758,,,,,,,,,,,,,,,,,Simpuca,Simpson University (Ca),
SRU,,,SRU,Sliprock,ii,,Pennsylvania State Athletic,215,10000,Slippery Rock,US,False,,,41.0639506,-80.0564468,Mihalik-Thompson Stadium,PA,,4430,,,http://a.espncdn.com/i/teamlogos/ncaa/500/215.png,,The Rock,Slippery Rock,
SMU,#cc0035,Southern Methodist,SMU,SMU,fbs,#354ca1,ACC,2567,32000,University Park,US,False,169.4058075,False,32.8377223,-96.7827859,Gerald J. Ford Stadium,TX,America/Chicago,3735,2000,75275,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,,Mustangs,SMU,@SMUFB
,,,,,,,,1000941,,,,,,,,,,,,,,,,,,Snow College,
SOU,,,SOU,SOUTH,,#000000,,3144,,,,,,,,,,,,,,,,,All-Stars,SOUTH,
USA,#BF0D3E,,USA,South Alabama,fbs,#00205B,Sun Belt,6,25450,Mobile,US,False,,False,30.6943566,-88.0430541,Hancock Whitney Stadium,AL,,6526,,85329,http://a.espncdn.com/i/teamlogos/ncaa/500/6.png,,Jaguars,South Alabama,@SouthAlabamaFB
SC,#ffffff,,SC,South Carolina,fbs,#73000a,SEC,2579,80250,Columbia,US,False,60.54548645,True,33.9730239,-81.0191726,Williams-Brice Stadium,SC,America/New_York,3994,1934,29208,http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,,Gamecocks,South Carolina,@GamecockFB
SCST,#104897,,SCST,SC State,fcs,#7d1315,MEAC,2569,22000,Orangeburg,US,False,67.29846191,False,33.4986313,-80.8446857,Oliver C. Dawson Stadium,SC,America/New_York,3864,1955,29115,http://a.espncdn.com/i/teamlogos/ncaa/500/2569.png,,Bulldogs,South Carolina State,@SCState_FB
SDAK,#f0f0f0,,SDAK,South Dakota,fcs,#CD1241,MVFC,233,9100,Vermillion,US,True,373.3928833,False,42.7911218,-96.9278427,DakotaDome,SD,America/Chicago,1905,1979,57069,http://a.espncdn.com/i/teamlogos/ncaa/500/233.png,,Coyotes,South Dakota,@SDCoyotesFB
SDMT,,,SDMT,SD Mines,ii,,Rocky Mountain,613,4000,Rapid City,US,False,,,44.0869329,-103.2274481,O'Harra Stadium,SD,,3860,,57701,http://a.espncdn.com/i/teamlogos/ncaa/500/613.png,,Hardrockers,South Dakota Mines,
SDST,#ffd100,,SDST,S Dakota St,fcs,#0033a0,MVFC,2571,19340,Brookings,US,False,495.7769775,False,44.3210182,-96.7801386,Dana J. Dykhouse Stadium,SD,America/Chicago,5237,2016,57006,http://a.espncdn.com/i/teamlogos/ncaa/500/2571.png,,Jackrabbits,South Dakota State,@GoJacksFB
,,,,,,,,1001028,,,,,,,,,,,,,,,,,,Southeastern Louisiana,
SEOS,,Southeastern Oklahoma State,SEOS,SE OK ST,ii,,Great American,199,4100,Durant,US,False,,,33.9919761,-96.3776762,Paul Laird Field,OK,,3875,,74701,http://a.espncdn.com/i/teamlogos/ncaa/500/199.png,,Savage Storm,Southeastern Oklahoma State,
SEMO,#000000,Southeast Missouri,SEMO,SE Missouri,fcs,#c8102e,Big South-OVC,2546,10000,Cape Girardeau,US,False,,,37.3034933,-89.5230357,Houck Field,MO,,7003,,63703,http://a.espncdn.com/i/teamlogos/ncaa/500/2546.png,,Redhawks,Southeast Missouri State,@SEMOFootball
,,,,,,,,1001007,,,,,,,,,,,,,,,,,,Southeast Oklahoma State,
SOU,#ffc82d,,SOU,Southern,fcs,#004B97,SWAC,2582,28500,Baton Rouge,US,False,20.24213219,False,30.5221461,-91.1896087,Ace W. Mumford Stadium,LA,America/Chicago,3599,1928,70807,http://a.espncdn.com/i/teamlogos/ncaa/500/2582.png,,Jaguars,Southern,@SouthernUsports
SOU,,,SOU,S Ark,ii,,Great American,2568,6000,Magnolia,US,False,,,33.2670725,-93.2393341,Wilkins Stadium,AR,,5891,,71754,http://a.espncdn.com/i/teamlogos/ncaa/500/2568.png,,Muleriders,Southern Arkansas,
SOU,,,SOU,S Conn St,ii,,Northeast 10,2583,6000,New Haven,US,False,,,41.3082138,-72.9250518,Jess Dow Field,CT,,6071,,06473,http://a.espncdn.com/i/teamlogos/ncaa/500/2583.png,,Owls,Southern Connecticut State,
SIU,#c2c3c0,,SIU,S Illinois,fcs,#85283D,MVFC,79,15000,Carbondale,US,False,126.7586365,False,37.708637,-89.216212,Saluki Stadium,IL,America/Chicago,3913,2010,62901,http://a.espncdn.com/i/teamlogos/ncaa/500/79.png,,Salukis,Southern Illinois,@SIU_Football
USM,#ffc423,Southern Mississippi,USM,Southern Miss,fbs,#FFAA3C,Sun Belt,2572,36000,Hattiesburg,US,False,64.52726746,False,31.3289321,-89.3318118,M. M. Roberts Stadium,MS,America/Chicago,3815,1932,39402,http://a.espncdn.com/i/teamlogos/ncaa/500/2572.png,,Golden Eagles,Southern Miss,@SouthernMissFB
STN,,,STN,S Nazarene,ii,,Great American,200,2500,Bethany,US,False,,,35.5186728,-97.6322648,Southern Nazarene University Football Stadium,OK,,3934,,,http://a.espncdn.com/i/teamlogos/ncaa/500/200.png,,Crimson Storm,Southern Nazarene,
SOU,,,SOU,S Oregon,,,,2584,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2584.png,,Raiders,Southern Oregon,
SUU,#000000,,SUU,Southern Utah,fcs,#c72026,UAC,253,10000,Cedar City,US,False,1763.97644,False,37.6757919,-113.0773938,Eccles Coliseum,UT,America/Denver,3706,1967,84720,http://a.espncdn.com/i/teamlogos/ncaa/500/253.png,,Thunderbirds,Southern Utah,@SUUFB
SVA,,,SVA,S Virginia,iii,,USA South,2896,1000,Buena Vista,US,False,,,37.7342962,-79.3539292,Knight Stadium,VA,,6117,,24416,http://a.espncdn.com/i/teamlogos/ncaa/500/2896.png,,Knights,Southern Virginia,
USF,#231f20,,USF,South Florida,fbs,#004A36,American Athletic,58,65828,Tampa,US,False,11.07972908,True,27.9758691,-82.5033344,Raymond James Stadium,FL,America/New_York,3886,1998,33620,http://a.espncdn.com/i/teamlogos/ncaa/500/58.png,,Bulls,South Florida,@USFFootball
SWB,,,SWB,SW Baptist,ii,,Great Lakes,2586,17337,Springfield,US,False,402.368103,False,37.1976229,-93.2798119,Plaster Sports Complex,MO,America/Chicago,3878,1941,65897,http://a.espncdn.com/i/teamlogos/ncaa/500/2586.png,,Bearcats,Southwest Baptist,
SWAOG,,,SWAOG,Swassembly,,,,2904,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2904.png,,Lions,Southwestern Assemblies Of God,
SCKS,,,SCKS,SW Coll,,,,616,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/616.png,,Moundbuilders,Southwestern College,
SWO,,Southwestern Oklahoma State,SWO,SW Okla St,ii,,Great American,2927,8600,Weatherford,US,False,,,35.5261633,-98.7075744,Milam Stadium,OK,,6073,,73096,http://a.espncdn.com/i/teamlogos/ncaa/500/2927.png,,Bulldogs,Southwestern Oklahoma State,
SWMN,,,SWMN,SW Minn State,ii,,Northern Sun,2587,2500,Marshall,US,False,,,48.3605336,-96.381968,Schwan Regional Event Center,MN,,6072,,56258,http://a.espncdn.com/i/teamlogos/ncaa/500/2587.png,,Mustangs,Southwest Minnesota State,
,,,,,,,,1000980,,,,,,,,,,,,,,,,,,Southwest Mississippi C.C.,
SPR,,,SPR,Springfld,iii,,NEWMAC,81,3867,Springfield,US,False,,,42.1018764,-72.5886727,Stagg Field,MA,,6119,,56087,http://a.espncdn.com/i/teamlogos/ncaa/500/81.png,,Pride,Springfield,
STA,,,STA,St Ambrose,,,,2591,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2591.png,,Fighting Bees,St Ambrose University  Iowa,
STAN,#ffffff,,STAN,Stanford,fbs,#8c1515,ACC,24,50424,Stanford,US,False,18.38425636,True,37.4345556,-122.1611271,Stanford Stadium,CA,America/Los_Angeles,3940,2006,94305,http://a.espncdn.com/i/teamlogos/ncaa/500/24.png,,Cardinal,Stanford,@StanfordFball
STA,,,STA,St Anselm,ii,,Northeast 10,2830,4500,Manchester,US,False,,,42.9956397,-71.4547891,Grappone Stadium,NH,,6074,,03108,http://a.espncdn.com/i/teamlogos/ncaa/500/2830.png,,Hawks,St. Anselm,
STA,,,STA,St. Augustine's,ii,#000000,CIAA,395,2500,Raleigh,US,False,,,35.7803977,-78.6390989,George Williams Athletic Complex,NC,,6068,,27601,http://a.espncdn.com/i/teamlogos/ncaa/500/395.png,,Falcons,St. Augustine's,
STC,,,STC,St. Cloud St,,#000000,,2594,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2594.png,,Huskies,St. Cloud State,
SFA,#bec0c2,Stephen F Austin,SFA,SF Austin,fcs,#393996,Southland,2617,14575,Nacogdoches,US,False,89.99433899,False,31.625719,-94.6444034,Homer Bryce Stadium,TX,America/Chicago,3756,1973,75961,http://a.espncdn.com/i/teamlogos/ncaa/500/2617.png,,Lumberjacks,Stephen F. Austin,@SFA_Football
STCKS,,,STCKS,Sterling,,,,618,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/618.png,,Sterling Ks,Sterling College,
STET,#56854e,,STET,Stetson,fcs,#0a5640,Pioneer,56,6000,DeLand,US,False,14.65544891,,29.0208575,-81.2993746,Spec Martin Municipal Stadium,FL,,4416,1941,32720,http://a.espncdn.com/i/teamlogos/ncaa/500/56.png,,Hatters,Stetson,@StetsonFootball
STU,#000000,,STU,Stevenson,iii,#005747,Mid Atlantic,471,3500,Stevenson,US,False,154,,39.4102772,-76.7128314,Mustang Stadium,MD,,3851,2012,21153,http://a.espncdn.com/i/teamlogos/ncaa/500/471.png,,Mustangs,Stevenson,
SFIL,,,SFIL,St Fran IL,,,,2595,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2595.png,,Fighting Saints,St Francis Illinois,
SFPA,,St. Francis PA,SFPA,St Francis PA,fcs,#a20012,NEC,2598,3500,Loretto,US,False,586.9408569,False,40.5063173,-78.637214,DeGol Field,PA,America/New_York,3694,2006,15940,http://a.espncdn.com/i/teamlogos/ncaa/500/2598.png,,Red Flash,St. Francis (PA),@RedFlashFB
STI,,,STI,Stillman,,,,2948,,,,,,,,,,,,,,,,,Tigers,Stillman,
SJFISH,,,SJFISH,St John Fisher,iii,,Empire 8,374,2500,Rochester,US,False,,,43.157285,-77.615214,Growney Stadium,NY,,6120,,14617,http://a.espncdn.com/i/teamlogos/ncaa/500/374.png,,Cardinals,St John Fisher University,
ST,,St. Joseph's (Indiana),ST,St. Joseph's (IN),ii,#000000,Great Lakes,2601,,,,,,,,,,,,,,,,,Pumas,St. Joseph's (IN),
USL,,,USL,St Lawrence,iii,,Liberty League,2779,1500,Canton,US,False,,,44.5956163,-75.1690942,Leckonby Stadium,NY,,6113,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2779.png,,Saints,St. Lawrence,
MB,,,MB,MO Baptist,,,,2880,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2880.png,,Spartans,St. Louis,
SMC,,St. Mary's CA,SMC,St. Mary's (CA),,,,2608,,,,,,,,,,,,,,,,,Gaels,St. Mary's (CA),
STN,,,STN,St Norbert,iii,,NACC,2832,2454,De Pere,US,False,,,44.4493584,-88.0599986,Donald J. Schneider Stadium,WI,,6121,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2832.png,,Green Knights,St. Norbert,
STO,#d18c29,,STO,St. Olaf,iii,,Minnesota,133,3500,Northfield,US,False,,,44.4582041,-93.161159,Klein Field at Manitou,MN,,5813,,55057,http://a.espncdn.com/i/teamlogos/ncaa/500/133.png,,Oles,St. Olaf,
STO,,,STO,Stonehill,fcs,,NEC,284,2400,North Easton,US,False,,,42.0667665,-71.1036592,W.B. Mason Stadium,MA,,6075,,02356,http://a.espncdn.com/i/teamlogos/ncaa/500/284.png,,Skyhawks,Stonehill,@StonehillFB
STBK,,,STBK,Stony Brook,fcs,#990000,CAA,2619,12300,Stony Brook,US,False,32.63183975,False,40.9188829,-73.1242966,Kenneth P. LaValle Stadium,NY,America/New_York,3788,2002,11790,http://a.espncdn.com/i/teamlogos/ncaa/500/2619.png,,Seawolves,Stony Brook,@StonyBrookFB
STP,,,STP,St. Paul's ,,#000000,,2611,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2611.png,,Tigers,St. Paul's College,
SPU,,,SPU,St. Peter's,,#001555,,2612,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2612.png,,Peacocks,St. Peter's,
UFFL,,,UFFL,U of Faith,,,,3254,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/3254.png,,Glory Eagles,St. Petersburg,
SCHOLA,,,SCHOLA,Scholastic,iii,,Minnesota,375,4500,Duluth,US,False,,,46.7729322,-92.1251218,Public Schools Stadium,MN,,6122,,55811,http://a.espncdn.com/i/teamlogos/ncaa/500/375.png,,Saints,St. Scholastica,
STMN,,St Thomas MN,STMN,St Thomas (MN),fcs,,Pioneer,2900,5025,Saint Paul,US,False,,,44.9497487,-93.0931028,O'Shaughnessy Stadium,MN,,5116,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2900.png,,Tommies,St. Thomas (MN),@UST_Football
,,,,,,,,1000968,,,,,,,,,,,,,,,,,,St. Thomas University,
,,,,St. Thomas University (Fl),,,,125730,,,,,,,,,,,,,,,,,Stthom,St. Thomas University (Fl),
STX,,,STX,St Xavr IL,,,,2615,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2615.png,,Cougars,St. Xavier IL,
SROS,,,SROS,Sul Ross State,ii,,Lone Star,2834,4000,Alpine,US,False,,,30.3573802,-103.6609367,Jackson Field,TX,,6123,,79830,http://a.espncdn.com/i/teamlogos/ncaa/500/2834.png,,Lobos,Sul Ross State,
SUNYMAR,,,SUNYMAR,Maritme NY,iii,,NEWMAC,2951,3500,Bronx,US,False,7,False,40.807528,-73.797744,Reinhart Field,NY,America/New_York,3889,2012,10465,http://a.espncdn.com/i/teamlogos/ncaa/500/2951.png,,Privateers,SUNY Maritime,
MOR,,,MOR,Morrisvlle,iii,,Empire 8,3110,1500,Morrisville,US,False,,,42.8986566,-75.6402204,Drake Field (NY),NY,,6087,,13048,http://a.espncdn.com/i/teamlogos/ncaa/500/3110.png,,Mustangs,SUNY Morrisville,
SUS,#fd6b0d,,SUS,Susquehnna,iii,#6b1a31,Landmark Conference,216,3500,Selinsgrove,US,False,,,40.8062437,-76.8607084,Amos Alonzo Stagg Field (PA),PA,,6124,,,http://a.espncdn.com/i/teamlogos/ncaa/500/216.png,,River Hawks,Susquehanna,
SYR,#000e54,,SYR,Syracuse,fbs,#ff6500,ACC,183,49057,Syracuse,US,True,162.6989746,False,43.0362269,-76.1363161,JMA Wireless Dome,NY,America/New_York,1964,1980,13244,http://a.espncdn.com/i/teamlogos/ncaa/500/183.png,,Orange,Syracuse,@CuseFootball
TAR,,,TAR,Tarleton St,fcs,,UAC,2627,12000,Stephenville,US,False,,,32.2191836,-98.2130634,"Memorial Stadium (Stephenville, TX)",TX,,3827,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2627.png,,Texans,Tarleton State,@TarletonFB
TCU,#f1f2f3,Texas Christian,TCU,TCU,fbs,#4d1979,Big 12,2628,46000,Fort Worth,US,False,185.4387054,True,32.7096604,-97.3680835,Amon G. Carter Stadium,TX,America/Chicago,3616,1929,76129,http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,,Horned Frogs,TCU,@TCUFootball
TEM,#a7a9ac,,TEM,Temple,fbs,#A80532,American Athletic,218,69879,Philadelphia,US,False,3.198706865,False,39.9007995,-75.1675414,Lincoln Financial Field,PA,America/New_York,3806,2003,19122,http://a.espncdn.com/i/teamlogos/ncaa/500/218.png,,Owls,Temple,@Temple_FB
TENN,#58595b,,TENN,Tennessee,fbs,#ff8200,SEC,2633,102455,Knoxville,US,False,271.9517212,True,35.9550131,-83.9250128,Neyland Stadium,TN,America/New_York,3853,1921,37996,http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,,Volunteers,Tennessee,@Vol_Football
TNST,#f0f0f0,,TNST,Tennessee St,fcs,#171796,Big South-OVC,2634,69143,Nashville,US,False,121.0412598,False,36.166479,-86.7712898,Nissan Stadium,TN,America/Chicago,3810,1999,37209,http://a.espncdn.com/i/teamlogos/ncaa/500/2634.png,,Tigers,Tennessee State,@TSU_Football
TNTC,#ffde00,,TNTC,Tennessee Tech,fcs,#5A4099,Big South-OVC,2635,16500,Cookeville,US,False,340.8609314,False,36.1780555,-85.506183,Tucker Stadium,TN,America/Chicago,3962,1966,38501,http://a.espncdn.com/i/teamlogos/ncaa/500/2635.png,,Golden Eagles,Tennessee Tech,@TNTechFootball
TEX,#ffffff,,TEX,Texas,fbs,#c15d26,SEC,251,100119,Austin,US,False,160.3089447,False,30.2836813,-97.7325345,DKR-Texas Memorial Stadium,TX,America/Chicago,3910,1924,78712,http://a.espncdn.com/i/teamlogos/ncaa/500/251.png,,Longhorns,Texas,@TexasFootball
TA&M,#ffffff,,TA&M,Texas A&M,fbs,#500000,SEC,245,102733,College Station,US,False,108.824585,True,30.6098891,-96.3403828,Kyle Field,TX,America/Chicago,3795,1927,77843,http://a.espncdn.com/i/teamlogos/ncaa/500/245.png,,Aggies,Texas A&M,@AggieFootball
TXA,,,TXA,TX A&M Kng,ii,,Lone Star,2658,15000,Kingsville,US,False,,,27.5158689,-97.856109,Javelina Stadium,TX,,6076,,78363,http://a.espncdn.com/i/teamlogos/ncaa/500/2658.png,,Javelinas,Texas A&M-Kingsville,
TXCL,,,TXCL,Texas Col,,,,2637,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2637.png,,Steers,Texas College,
